# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2                  SET      1     985      0.13472     0.030419     0.039667   0.00034242
fetal_FC_ExN_2         SET      1    1181      0.23243      0.05714     0.037106   1.9306e-10
CGE_2                  SET      2     985      0.15333     0.034621     0.039468    5.143e-05
fetal_FC_ExN_3         SET      2    1069      0.17421     0.040878     0.038837   3.6643e-06
CGE_2                  SET      3     985      0.15387     0.034744     0.039491   4.9024e-05
fetal_FC_ExN_4         SET      3    1157      0.15076      0.03671     0.036764   2.0705e-05
CGE_2                  SET      4     985      0.16369     0.036959     0.039341    1.596e-05
fetal_GE_InN_2         SET      4    1022      0.15573     0.035779     0.038911   3.1528e-05
CGE_2                  SET      5     985      0.15735     0.035528     0.039482   3.3867e-05
fetal_Hipp_ExN_3       SET      5    1105       0.1245     0.029672     0.037537   0.00045635
CGE_2                  SET      6     985      0.15767     0.035601     0.039654   3.5198e-05
fetal_Hipp_ExN_5       SET      6    1005     0.089162     0.020324     0.039596     0.012175
CGE_2                  SET      7     985      0.15245     0.034422     0.039563   5.8517e-05
mouse_InN              SET      7    1205       0.1369     0.033971     0.036141   7.6275e-05
CGE_2                  SET      8     985      0.15936     0.035982     0.039353   2.5799e-05
mouse_MSN              SET      8     973      0.20118     0.045164      0.03991   2.3455e-07
CGE_2                  SET      9     985        0.144     0.032514     0.039529   0.00013528
mouse_CA1              SET      9    1287      0.20384     0.052151     0.035057   3.1032e-09
CGE_2                  SET     10     985      0.15109     0.034115     0.039479   6.5131e-05
mouse_SS               SET     10    1249      0.17202     0.043403     0.035225   5.2684e-07
CGE_2                  SET     11     985      0.15535     0.035077     0.039591   4.3779e-05
adult_exCA1            SET     11    1334      0.10219      0.02658     0.034047    0.0013461
CGE_2                  SET     12     985      0.16049     0.036239     0.039502   2.4363e-05
adult_exCA3            SET     12    1339     0.078857     0.020546      0.03382     0.009866
CGE_2                  SET     13     985      0.15764     0.035593     0.039608   3.4636e-05
adult_exPFC1           SET     13    1348     0.082471     0.021555      0.03381    0.0073649
CGE_2                  SET     14     985       0.1525     0.034434     0.039636   5.9915e-05
adult_exDG             SET     14    1321      0.11644     0.030149     0.034943   0.00043188
CGE_2                  SET     15     985      0.16387     0.037002      0.03943   1.6281e-05
adult_exPFC2           SET     15    1352     0.063451     0.016606      0.03369     0.029836
CGE_2                  SET     16     985      0.16229     0.036644     0.039685   2.1741e-05
adult_GABA1            SET     16    1314      0.04426     0.011432      0.03453     0.099969
CGE_2                  SET     17     985      0.14189     0.032038     0.039962   0.00019279
adult_GABA2            SET     17    1304      0.13529     0.034823     0.035581    7.195e-05
CGE_2                  SET     18     985      0.12451     0.028114     0.042147    0.0015701
CGE_1                  SET     18    1010      0.12098     0.027642     0.041206    0.0016649
CGE_2                  SET     19     985      0.14175     0.032007     0.039745   0.00018147
LGE_1                  SET     19    1043      0.18276     0.042394     0.039285   1.6564e-06
CGE_2                  SET     20     985      0.14973     0.033809     0.039857    8.639e-05
LGE_2                  SET     20    1027      0.11638     0.026799     0.039073    0.0014511
CGE_2                  SET     21     985      0.14605     0.032977     0.040123   0.00013678
LGE_4                  SET     21     992      0.11476     0.025998     0.039712    0.0019311
CGE_2                  SET     22     985      0.13767     0.031086     0.040273   0.00031577
MGE_2                  SET     22    1131      0.13638     0.032857     0.037857   0.00015815
CGE_2                  SET     23     985      0.13048     0.029463     0.042039   0.00095688
MGE_3                  SET     23    1015      0.10892     0.024943     0.041977    0.0047382
