# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_2 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_2                  SET      1    1027      0.10779     0.024821     0.038854    0.0027712
fetal_FC_ExN_2         SET      1    1181      0.23636     0.058105     0.037075     9.42e-11
LGE_2                  SET      2    1027      0.11775     0.027116     0.038883    0.0012314
fetal_FC_ExN_3         SET      2    1069      0.17209     0.040382     0.039029   5.2226e-06
LGE_2                  SET      3    1027      0.11904     0.027412     0.038909    0.0011108
fetal_FC_ExN_4         SET      3    1157      0.14888     0.036253     0.036949   2.8098e-05
LGE_2                  SET      4    1027      0.14048     0.032349     0.038551   0.00013476
fetal_GE_InN_2         SET      4    1022      0.16144     0.037091     0.038894   1.6663e-05
LGE_2                  SET      5    1027      0.13013     0.029967     0.038671   0.00038356
fetal_Hipp_ExN_3       SET      5    1105       0.1282     0.030554     0.037503    0.0003157
LGE_2                  SET      6    1027      0.13015      0.02997     0.038793     0.000398
fetal_Hipp_ExN_5       SET      6    1005     0.094826     0.021615     0.039513    0.0082064
LGE_2                  SET      7    1027      0.13213     0.030426     0.038604   0.00031091
mouse_InN              SET      7    1205      0.14593     0.036213     0.035972   2.4997e-05
LGE_2                  SET      8    1027      0.12526     0.028844     0.038658   0.00059861
mouse_MSN              SET      8     973      0.19897     0.044667     0.039992   3.2953e-07
LGE_2                  SET      9    1027      0.12266     0.028245     0.038637   0.00075191
mouse_CA1              SET      9    1287      0.20932     0.053552     0.034954   1.0837e-09
LGE_2                  SET     10    1027      0.12952     0.029825     0.038597   0.00039708
mouse_SS               SET     10    1249      0.17811     0.044939     0.035129   2.0123e-07
LGE_2                  SET     11    1027      0.12715     0.029279     0.038791   0.00052452
adult_exCA1            SET     11    1334      0.10542     0.027421     0.034028    0.0009757
LGE_2                  SET     12    1027      0.13121     0.030214     0.038752   0.00035576
adult_exCA3            SET     12    1339     0.080351     0.020936     0.033843    0.0088002
LGE_2                  SET     13    1027      0.12762     0.029388       0.0389   0.00051909
adult_exPFC1           SET     13    1348     0.083767     0.021893     0.033872    0.0067047
LGE_2                  SET     14    1027      0.12582     0.028973      0.03878   0.00058994
adult_exDG             SET     14    1321      0.12115      0.03137     0.034874    0.0002571
LGE_2                  SET     15    1027      0.13411     0.030883     0.038706     0.000266
adult_exPFC2           SET     15    1352     0.063321     0.016572     0.033735     0.030267
LGE_2                  SET     16    1027      0.13355     0.030755      0.03886   0.00029519
adult_GABA1            SET     16    1314     0.048462     0.012518      0.03449     0.080008
LGE_2                  SET     17    1027       0.1207     0.027794     0.038845   0.00094642
adult_GABA2            SET     17    1304      0.14439     0.037163      0.03528   2.1451e-05
LGE_2                  SET     18    1027       0.1266     0.029153     0.038704   0.00053716
CGE_1                  SET     18    1010       0.1536     0.035094     0.038599   3.4715e-05
LGE_2                  SET     19    1027      0.11638     0.026799     0.039073    0.0014511
CGE_2                  SET     19     985      0.14973     0.033809     0.039857    8.639e-05
LGE_2                  SET     20    1027     0.081556     0.018781     0.040936      0.02318
LGE_1                  SET     20    1043      0.17575     0.040766     0.041274   1.0376e-05
LGE_2                  SET     21    1027      0.10051     0.023146     0.041762    0.0080528
LGE_4                  SET     21     992      0.10444      0.02366     0.042163    0.0066313
LGE_2                  SET     22    1027      0.10853     0.024991     0.039467    0.0029855
MGE_2                  SET     22    1131      0.14208     0.034231     0.037844   8.7231e-05
LGE_2                  SET     23    1027      0.11821     0.027221     0.039101    0.0012527
MGE_3                  SET     23    1015      0.13494     0.030903     0.039826   0.00035267
