# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_2           SET      1    1124      0.16424     0.039499     0.036128   2.7545e-06
skene_InN       SET      1    1328      0.10193     0.026486     0.033081    0.0010328
MGE_2           SET      2    1124      0.16324      0.03926     0.035979   2.8714e-06
skene_MSN       SET      2    1355      0.14753     0.038693     0.032124    2.207e-06
MGE_2           SET      3    1124       0.1751     0.042112     0.035861   5.2808e-07
CGE_1           SET      3    1000      0.11199     0.025496     0.036699    0.0011404
MGE_2           SET      4    1124      0.16577     0.039868      0.03646    2.747e-06
CGE_2           SET      4     980      0.06934     0.015637     0.037298     0.031517
MGE_2           SET      5    1124      0.13686     0.032916     0.037229   0.00011874
LGE_1           SET      5    1048      0.15725     0.036598     0.038455   2.1767e-05
MGE_2           SET      6    1124      0.15826     0.038061     0.036336   6.6846e-06
LGE_2           SET      6    1017      0.12762     0.029287     0.038319    0.0004344
MGE_2           SET      7    1124      0.14662     0.035262     0.037229   4.1205e-05
LGE_4           SET      7     990      0.12256     0.027772     0.039149   0.00087348
MGE_2           SET      8    1124      0.16322     0.039254     0.036636   4.2216e-06
MGE_3           SET      8    1017     0.075143     0.017244     0.038058     0.024177
