# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3           SET      1    1014     0.089633      0.02069     0.035813    0.0061648
skene_InN       SET      1    1324     0.087851     0.022959     0.030969    0.0022814
MGE_3           SET      2    1014     0.093768     0.021644     0.035572    0.0041979
skene_MSN       SET      2    1354      0.13743     0.036288     0.030798   4.0794e-06
MGE_3           SET      3    1014     0.088598     0.020451     0.036157    0.0071403
CGE_1           SET      3     992      0.07315     0.016712     0.035563     0.019857
MGE_3           SET      4    1014     0.071134      0.01642     0.037257     0.028121
CGE_2           SET      4     973      0.10434     0.023621     0.037482    0.0026904
MGE_3           SET      5    1014     0.087583     0.020217     0.035821    0.0072475
LGE_1           SET      5    1042      0.11575     0.027062     0.035822    0.0006175
MGE_3           SET      6    1014     0.090244     0.020831     0.035868    0.0059387
LGE_2           SET      6    1012     0.090462     0.020862     0.036541    0.0066555
MGE_3           SET      7    1014     0.089956     0.020765       0.0359    0.0061146
LGE_4           SET      7     984     0.089395     0.020345      0.03694    0.0077653
MGE_3           SET      8    1014     0.068157     0.015733     0.036246     0.030035
MGE_2           SET      8    1121       0.1706     0.041273     0.036106    1.161e-06
