# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1           SET      1    1003      0.12793     0.029064     0.039561   0.00061309
skene_InN       SET      1    1331     0.072822     0.018878     0.034756     0.018086
CGE_1           SET      2    1003      0.12555     0.028524     0.039517   0.00074592
skene_MSN       SET      2    1355      0.13963     0.036495     0.032731   1.0044e-05
CGE_1           SET      3    1003      0.10215     0.023207     0.042231    0.0077954
CGE_2           SET      3     981     0.083637     0.018804     0.041843     0.022826
CGE_1           SET      4    1003      0.13088     0.029735     0.039501   0.00046261
LGE_1           SET      4    1050      0.13448     0.031219     0.038243   0.00021953
CGE_1           SET      5    1003      0.12443      0.02827     0.039626   0.00084651
LGE_2           SET      5    1020     0.095391     0.021844     0.038267    0.0063456
CGE_1           SET      6    1003      0.12482     0.028359     0.039555   0.00080285
LGE_4           SET      6     992       0.1329     0.030037     0.038629   0.00029168
CGE_1           SET      7    1003      0.12901     0.029309      0.03951   0.00054882
MGE_2           SET      7    1125      0.12391     0.029709     0.035871   0.00027694
CGE_1           SET      8    1003      0.11425     0.025956     0.040258    0.0022753
MGE_3           SET      8    1018     0.090167     0.020629     0.039308     0.010909
