# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN       SET      1    1324     0.087698     0.022919     0.030796    0.0022045
skene_MSN       SET      1    1354      0.13542     0.035758     0.030834   5.6494e-06
skene_InN       SET      2    1324     0.093626     0.024468      0.03077     0.001174
CGE_1           SET      2     992      0.08357     0.019092     0.034999    0.0084815
skene_InN       SET      3    1324     0.086208      0.02253     0.030929    0.0026604
CGE_2           SET      3     973       0.1143     0.025876     0.035983   0.00074671
skene_InN       SET      4    1324     0.089986     0.023517     0.030804    0.0017456
LGE_1           SET      4    1042      0.11929      0.02789     0.035623   0.00040693
skene_InN       SET      5    1324     0.092078     0.024064     0.030795    0.0013969
LGE_2           SET      5    1012     0.095682     0.022066     0.036281    0.0041828
skene_InN       SET      6    1324     0.091661     0.023955      0.03081    0.0014669
LGE_4           SET      6     984     0.094508     0.021509     0.036661     0.004975
skene_InN       SET      7    1324       0.0797     0.020829     0.030928    0.0049884
MGE_2           SET      7    1121      0.17326     0.041917     0.035629   5.8388e-07
skene_InN       SET      8    1324     0.087851     0.022959     0.030969    0.0022814
MGE_3           SET      8    1014     0.089633      0.02069     0.035813    0.0061648
