# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_4 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_4           SET      1     990      0.15382     0.034855     0.037829   2.4012e-05
skene_InN       SET      1    1328      0.10961     0.028481      0.03294   0.00043931
LGE_4           SET      2     990      0.14392      0.03261     0.037953   7.5028e-05
skene_MSN       SET      2    1355      0.14624     0.038354     0.032224   2.8599e-06
LGE_4           SET      3     990       0.1556     0.035257     0.037825   1.9584e-05
CGE_1           SET      3    1000      0.10479     0.023857     0.036811     0.002212
LGE_4           SET      4     990      0.15155     0.034339     0.038207   3.6654e-05
CGE_2           SET      4     980     0.076418     0.017233     0.037168     0.019899
LGE_4           SET      5     990      0.11654     0.026408     0.039359    0.0015352
LGE_1           SET      5    1048      0.16257     0.037837     0.038661   1.3127e-05
LGE_4           SET      6     990      0.12497     0.028318     0.040359   0.00098054
LGE_2           SET      6    1017      0.11027     0.025305     0.040473    0.0032236
LGE_4           SET      7     990      0.12256     0.027772     0.039149   0.00087348
MGE_2           SET      7    1124      0.14662     0.035262     0.037229   4.1205e-05
LGE_4           SET      8     990      0.15078     0.034165     0.038148   3.8853e-05
MGE_3           SET      8    1017     0.087424     0.020062     0.037686     0.010183
