# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_1           SET      1    1049      0.18239     0.042413     0.038537   1.1177e-06
skene_InN       SET      1    1329      0.14108     0.036625     0.034477   2.1506e-05
LGE_1           SET      2    1049      0.16855     0.039194     0.038661   6.5609e-06
skene_MSN       SET      2    1355       0.1954     0.051181     0.034245   5.9048e-09
LGE_1           SET      3    1049      0.19208     0.044667     0.038479   3.0249e-07
CGE_1           SET      3    1002       0.1353     0.030793     0.038755   0.00024111
LGE_1           SET      4    1049      0.17632     0.041001     0.038694   2.6191e-06
CGE_2           SET      4     980      0.14649     0.032991     0.039556   0.00010679
LGE_1           SET      5    1049      0.15783     0.036702     0.040302   4.5201e-05
LGE_2           SET      5    1019      0.11374     0.026091     0.040445    0.0024637
LGE_1           SET      6    1049      0.16048     0.037318     0.040373   3.5368e-05
LGE_4           SET      6     991      0.10447     0.023652     0.041095    0.0055134
LGE_1           SET      7    1049      0.16003     0.037214      0.03999   3.1596e-05
MGE_2           SET      7    1125      0.11139     0.026765     0.038506    0.0019122
LGE_1           SET      8    1049      0.17683      0.04112     0.038863   2.7043e-06
MGE_3           SET      8    1018       0.1082     0.024809     0.039911    0.0033579
