# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN       SET      1    1355      0.15238     0.039966     0.032102   1.0423e-06
skene_InN       SET      1    1328      0.10846     0.028185     0.032922   0.00049397
skene_MSN       SET      2    1355      0.15763     0.041343     0.032021   4.3111e-07
CGE_1           SET      2    1000      0.11131     0.025342     0.036702    0.0012133
skene_MSN       SET      3    1355      0.15578     0.040857     0.032072   6.0102e-07
CGE_2           SET      3     980     0.089028     0.020077     0.036746    0.0077063
skene_MSN       SET      4    1355      0.14536     0.038123     0.032148   3.0944e-06
LGE_1           SET      4    1048      0.17893     0.041645     0.037192   7.5822e-07
skene_MSN       SET      5    1355      0.15179      0.03981     0.032088   1.1303e-06
LGE_2           SET      5    1017      0.14178     0.032535     0.037899   9.2049e-05
skene_MSN       SET      6    1355      0.14624     0.038354     0.032224   2.8599e-06
LGE_4           SET      6     990      0.14392      0.03261     0.037953   7.5028e-05
skene_MSN       SET      7    1355      0.14753     0.038693     0.032124    2.207e-06
MGE_2           SET      7    1124      0.16324      0.03926     0.035979   2.8714e-06
skene_MSN       SET      8    1355      0.15545      0.04077     0.032067   6.3102e-07
MGE_3           SET      8    1017     0.099002     0.022719     0.037311    0.0039877
