# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN       SET      1    1328      0.10846     0.028185     0.032922   0.00049397
skene_MSN       SET      1    1355      0.15238     0.039966     0.032102   1.0423e-06
skene_InN       SET      2    1328      0.11526     0.029951     0.032886   0.00022909
CGE_1           SET      2    1000      0.10982     0.025003     0.036754     0.001406
skene_InN       SET      3    1328      0.11124     0.028905     0.033096    0.0003892
CGE_2           SET      3     980     0.084745     0.019111     0.036974     0.010959
skene_InN       SET      4    1328      0.10832     0.028148      0.03291   0.00049962
LGE_1           SET      4    1048      0.18642     0.043388     0.037125   2.5941e-07
skene_InN       SET      5    1328      0.11109     0.028867     0.032925   0.00037134
LGE_2           SET      5    1017      0.14528      0.03334     0.037919   6.3976e-05
skene_InN       SET      6    1328      0.10961     0.028481      0.03294   0.00043931
LGE_4           SET      6     990      0.15382     0.034855     0.037829   2.4012e-05
skene_InN       SET      7    1328      0.10193     0.026486     0.033081    0.0010328
MGE_2           SET      7    1124      0.16424     0.039499     0.036128   2.7545e-06
skene_InN       SET      8    1328      0.10851     0.028196     0.033218   0.00054548
MGE_3           SET      8    1017     0.091477     0.020992     0.037686    0.0076107
