# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_2           SET      1    1019      0.15271      0.03503     0.038666    3.936e-05
skene_InN       SET      1    1329      0.14368       0.0373     0.034471   1.5444e-05
LGE_2           SET      2    1019      0.14423     0.033084     0.038696   9.7187e-05
skene_MSN       SET      2    1355       0.2017     0.052833     0.034155   1.7978e-09
LGE_2           SET      3    1019      0.15224     0.034922      0.03872    4.237e-05
CGE_1           SET      3    1002      0.12388     0.028192      0.03886   0.00071848
LGE_2           SET      4    1019      0.14472     0.033197     0.038855   9.8234e-05
CGE_2           SET      4     980      0.14943     0.033654     0.039581   8.0226e-05
LGE_2           SET      5    1019      0.11374     0.026091     0.040445    0.0024637
LGE_1           SET      5    1049      0.15783     0.036702     0.040302   4.5201e-05
LGE_2           SET      6    1019      0.12177     0.027932      0.04146    0.0016602
LGE_4           SET      6     991      0.10898     0.024673     0.042054    0.0047836
LGE_2           SET      7    1019      0.13841     0.031749     0.039148   0.00020418
MGE_2           SET      7    1125      0.13164     0.031631     0.037562   0.00022944
LGE_2           SET      8    1019      0.14797     0.033943     0.038876   7.0858e-05
MGE_3           SET      8    1018      0.11643     0.026695     0.039784    0.0017171
