# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN       SET      1    1355      0.19976     0.052325     0.034186   2.6127e-09
skene_InN       SET      1    1329      0.13346     0.034646     0.034529   5.5768e-05
skene_MSN       SET      2    1355      0.20564     0.053865     0.034111   8.4682e-10
CGE_1           SET      2    1002      0.12304     0.028001     0.038785   0.00075788
skene_MSN       SET      3    1355       0.2041      0.05346     0.034109   1.1167e-09
CGE_2           SET      3     980      0.15348     0.034566     0.039365   4.8535e-05
skene_MSN       SET      4    1355       0.1954     0.051181     0.034245   5.9048e-09
LGE_1           SET      4    1049      0.16855     0.039194     0.038661   6.5609e-06
skene_MSN       SET      5    1355       0.2017     0.052833     0.034155   1.7978e-09
LGE_2           SET      5    1019      0.14423     0.033084     0.038696   9.7187e-05
skene_MSN       SET      6    1355      0.19718     0.051647     0.034344   4.7964e-09
LGE_4           SET      6     991      0.12524     0.028356     0.039467   0.00075483
skene_MSN       SET      7    1355      0.20205     0.052925     0.034149    1.679e-09
MGE_2           SET      7    1125      0.13794     0.033144     0.037122   0.00010167
skene_MSN       SET      8    1355      0.20529     0.053772     0.034121    9.131e-10
MGE_3           SET      8    1018      0.12057     0.027646      0.03956    0.0011544
