# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_2           SET      1    1125      0.13739     0.033013     0.037274   0.00011435
skene_InN       SET      1    1329       0.1367     0.035488     0.034633   3.9739e-05
MGE_2           SET      2    1125      0.13794     0.033144     0.037122   0.00010167
skene_MSN       SET      2    1355      0.20205     0.052925     0.034149    1.679e-09
MGE_2           SET      3    1125      0.15183     0.036482     0.037064   2.1097e-05
CGE_1           SET      3    1002      0.13261     0.030181     0.038768   0.00031317
MGE_2           SET      4    1125      0.12808     0.030776     0.037762   0.00034816
CGE_2           SET      4     980      0.13948     0.031412     0.040091   0.00025242
MGE_2           SET      5    1125      0.11139     0.026765     0.038506    0.0019122
LGE_1           SET      5    1049      0.16003     0.037214      0.03999   3.1596e-05
MGE_2           SET      6    1125      0.13164     0.031631     0.037562   0.00022944
LGE_2           SET      6    1019      0.13841     0.031749     0.039148   0.00020418
MGE_2           SET      7    1125      0.12399     0.029792     0.038365   0.00061651
LGE_4           SET      7     991      0.11998     0.027164     0.040557    0.0015486
MGE_2           SET      8    1125      0.13292      0.03194     0.037906   0.00022757
MGE_3           SET      8    1018       0.1038     0.023801     0.040429    0.0051255
