# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2           SET      1     981      0.11032     0.024803     0.039444    0.0025849
skene_InN       SET      1    1331     0.066473     0.017232     0.034974     0.028689
CGE_2           SET      2     981       0.1095     0.024619       0.0392    0.0026127
skene_MSN       SET      2    1355      0.13811     0.036098      0.03277   1.2622e-05
CGE_2           SET      3     981     0.083637     0.018804     0.041843     0.022826
CGE_1           SET      3    1003      0.10215     0.023207     0.042231    0.0077954
CGE_2           SET      4     981      0.10726     0.024116     0.039318    0.0031899
LGE_1           SET      4    1050      0.12559     0.029155     0.038419   0.00054137
CGE_2           SET      5     981      0.10746      0.02416     0.039473    0.0032463
LGE_2           SET      5    1020     0.091206     0.020886     0.038473    0.0088872
CGE_2           SET      6     981      0.10086     0.022677     0.039569    0.0054075
LGE_4           SET      6     992      0.12474     0.028194     0.039001   0.00069287
CGE_2           SET      7     981     0.096562      0.02171     0.039877    0.0077373
MGE_2           SET      7    1125      0.10956     0.026268      0.03654    0.0013607
CGE_2           SET      8     981     0.091422     0.020554      0.04164     0.014074
MGE_3           SET      8    1018     0.080874     0.018503     0.041035     0.024383
