# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2           SET      1     980     0.084745     0.019111     0.036974     0.010959
skene_InN       SET      1    1328      0.11124     0.028905     0.033096    0.0003892
CGE_2           SET      2     980     0.089028     0.020077     0.036746    0.0077063
skene_MSN       SET      2    1355      0.15578     0.040857     0.032072   6.0102e-07
CGE_2           SET      3     980     0.068104     0.015358     0.039061     0.040631
CGE_1           SET      3    1000     0.093518     0.021291     0.039076    0.0083563
CGE_2           SET      4     980      0.08149     0.018377     0.036859     0.013531
LGE_1           SET      4    1048      0.18725     0.043581     0.037218    2.466e-07
CGE_2           SET      5     980     0.082006     0.018493     0.036999     0.013337
LGE_2           SET      5    1017      0.14399     0.033042     0.038141   8.0284e-05
CGE_2           SET      6     980     0.076418     0.017233     0.037168     0.019899
LGE_4           SET      6     990      0.15155     0.034339     0.038207   3.6654e-05
CGE_2           SET      7     980      0.06934     0.015637     0.037298     0.031517
MGE_2           SET      7    1124      0.16577     0.039868      0.03646    2.747e-06
CGE_2           SET      8     980      0.07407     0.016704     0.038517     0.027247
MGE_3           SET      8    1017     0.087135     0.019996     0.039115     0.012958
