# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_0 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_0           SET      1    1412      0.13455     0.036218     0.029294    2.199e-06
skene_InN       SET      1    1324     0.091053     0.023796     0.030745    0.0015326
LGE_0           SET      2    1412      0.13457     0.036222     0.029267   2.1488e-06
skene_MSN       SET      2    1354      0.13752     0.036313     0.030754   3.9057e-06
LGE_0           SET      3    1412      0.10904     0.029351      0.03222   0.00035767
CGE_1           SET      3    1406     0.070183     0.018855     0.032071     0.014328
LGE_0           SET      4    1412      0.11717     0.031539     0.030089   4.9465e-05
CGE_2           SET      4    1387     0.092716     0.024753     0.030403    0.0011478
LGE_0           SET      5    1412      0.11865     0.031938      0.02961   3.0845e-05
LGE_2           SET      5    1410      0.13203     0.035516     0.030363   6.8968e-06
LGE_0           SET      6    1412      0.13368     0.035984     0.029355   2.6498e-06
LGE_4           SET      6    1415     0.064284      0.01732      0.03012     0.016417
LGE_0           SET      7    1412      0.13487     0.036304      0.02926   2.0321e-06
MGE_2           SET      7    1393      0.15536      0.04156     0.031651   4.6312e-07
LGE_0           SET      8    1412      0.12057     0.032455      0.02992   2.8025e-05
MGE_3           SET      8    1392      0.08858     0.023688     0.030732     0.001976
