# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_InN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_InN       SET      1    1331     0.065748     0.017044      0.03483     0.029548
skene_MSN       SET      1    1355      0.13828     0.036143     0.032838   1.2821e-05
skene_InN       SET      2    1331     0.072822     0.018878     0.034756     0.018086
CGE_1           SET      2    1003      0.12793     0.029064     0.039561   0.00061309
skene_InN       SET      3    1331     0.066473     0.017232     0.034974     0.028689
CGE_2           SET      3     981      0.11032     0.024803     0.039444    0.0025849
skene_InN       SET      4    1331     0.069487     0.018013      0.03481     0.022971
LGE_1           SET      4    1050      0.12974     0.030118     0.038362   0.00036099
skene_InN       SET      5    1331     0.071214     0.018461     0.034829     0.020457
LGE_2           SET      5    1020     0.098354     0.022523     0.038286    0.0051075
skene_InN       SET      6    1331     0.067425     0.017479     0.034857     0.026551
LGE_4           SET      6     992      0.13245     0.029936     0.038748   0.00031633
skene_InN       SET      7    1331     0.065168     0.016894     0.034942       0.0311
MGE_2           SET      7    1125      0.11875     0.028473      0.03611   0.00050505
skene_InN       SET      8    1331     0.065367     0.016945     0.035074     0.031197
MGE_3           SET      8    1018      0.10125     0.023165     0.038981    0.0047021
