# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1           SET      1    1002      0.12569     0.028604     0.038821   0.00060414
skene_InN       SET      1    1329      0.14448     0.037508     0.034484   1.4044e-05
CGE_1           SET      2    1002      0.12304     0.028001     0.038785   0.00075788
skene_MSN       SET      2    1355      0.20564     0.053865     0.034111   8.4682e-10
CGE_1           SET      3    1002     0.088271     0.020089     0.041375     0.016452
CGE_2           SET      3     980       0.1343     0.030247     0.041995   0.00069336
CGE_1           SET      4    1002       0.1353     0.030793     0.038755   0.00024111
LGE_1           SET      4    1049      0.19208     0.044667     0.038479   3.0249e-07
CGE_1           SET      5    1002      0.12388     0.028192      0.03886   0.00071848
LGE_2           SET      5    1019      0.15224     0.034922      0.03872    4.237e-05
CGE_1           SET      6    1002      0.12627     0.028736     0.038831   0.00057499
LGE_4           SET      6     991      0.14663     0.033196     0.039245   9.3766e-05
CGE_1           SET      7    1002      0.13261     0.030181     0.038768   0.00031317
MGE_2           SET      7    1125      0.15183     0.036482     0.037064   2.1097e-05
CGE_1           SET      8    1002      0.11548     0.026281     0.039354    0.0016735
MGE_3           SET      8    1018      0.11338     0.025997     0.040127    0.0023628
