# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1           SET      1    1000      0.10982     0.025003     0.036754     0.001406
skene_InN       SET      1    1328      0.11526     0.029951     0.032886   0.00022909
CGE_1           SET      2    1000      0.11131     0.025342     0.036702    0.0012133
skene_MSN       SET      2    1355      0.15763     0.041343     0.032021   4.3111e-07
CGE_1           SET      3    1000     0.093518     0.021291     0.039076    0.0083563
CGE_2           SET      3     980     0.068104     0.015358     0.039061     0.040631
CGE_1           SET      4    1000       0.1166     0.026546      0.03668   0.00074074
LGE_1           SET      4    1048      0.19536      0.04547     0.037023   6.6638e-08
CGE_1           SET      5    1000       0.1065     0.024247     0.036793    0.0019005
LGE_2           SET      5    1017      0.14699     0.033731     0.037915   5.3133e-05
CGE_1           SET      6    1000      0.10479     0.023857     0.036811     0.002212
LGE_4           SET      6     990       0.1556     0.035257     0.037825   1.9584e-05
CGE_1           SET      7    1000      0.11199     0.025496     0.036699    0.0011404
MGE_2           SET      7    1124       0.1751     0.042112     0.035861   5.2808e-07
CGE_1           SET      8    1000       0.1005      0.02288     0.037328    0.0035527
MGE_3           SET      8    1017     0.091451     0.020986     0.037892    0.0079074
