# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_0 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_0           SET      1    1425     0.068692     0.018374     0.033455     0.020036
skene_InN       SET      1    1331     0.073834      0.01914     0.034792     0.016925
LGE_0           SET      2    1425     0.068699     0.018376     0.033384     0.019814
skene_MSN       SET      2    1355      0.14152     0.036989     0.032732   7.7504e-06
LGE_0           SET      3    1425     0.028773    0.0076966     0.037041      0.21865
CGE_1           SET      3    1416      0.10516     0.028047     0.038082    0.0028831
LGE_0           SET      4    1425     0.048229     0.012901     0.034321     0.079992
CGE_2           SET      4    1397      0.10613     0.028132     0.034052   0.00091676
LGE_0           SET      5    1425     0.063066      0.01687     0.033935     0.031566
LGE_2           SET      5    1421     0.054137     0.014463     0.032626     0.048542
LGE_0           SET      6    1425     0.064135     0.017156     0.033458      0.02764
LGE_4           SET      6    1427      0.12563     0.033627      0.03308   7.3398e-05
LGE_0           SET      7    1425      0.06986     0.018687     0.033384     0.018203
MGE_2           SET      7    1399       0.1283     0.034032     0.032684   4.3533e-05
LGE_0           SET      8    1425     0.048959     0.013096     0.034075     0.075403
MGE_3           SET      8    1398      0.11891      0.03153     0.033796   0.00021798
