# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_1           SET      1    1050      0.12974     0.030118     0.038362   0.00036099
skene_InN       SET      1    1331     0.069487     0.018013      0.03481     0.022971
LGE_1           SET      2    1050      0.12208      0.02834      0.03837   0.00073415
skene_MSN       SET      2    1355       0.1347     0.035207     0.032826    2.051e-05
LGE_1           SET      3    1050      0.13448     0.031219     0.038243   0.00021953
CGE_1           SET      3    1003      0.13088     0.029735     0.039501   0.00046261
LGE_1           SET      4    1050      0.12559     0.029155     0.038419   0.00054137
CGE_2           SET      4     981      0.10726     0.024116     0.039318    0.0031899
LGE_1           SET      5    1050      0.11373     0.026401     0.040307    0.0023941
LGE_2           SET      5    1020     0.068792     0.015753     0.040205     0.043552
LGE_1           SET      6    1050      0.10324     0.023965      0.04011    0.0050358
LGE_4           SET      6     992      0.10791     0.024389      0.04046    0.0038312
LGE_1           SET      7    1050      0.10831     0.025143     0.039529     0.003077
MGE_2           SET      7    1125      0.10078     0.024163     0.037069    0.0032834
LGE_1           SET      8    1050        0.123     0.028554     0.038588   0.00071935
MGE_3           SET      8    1018     0.095177     0.021775     0.038917    0.0072376
