# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_2           SET      1    1125      0.11875     0.028473      0.03611   0.00050505
skene_InN       SET      1    1331     0.065168     0.016894     0.034942       0.0311
MGE_2           SET      2    1125      0.11146     0.026725     0.036043   0.00099508
skene_MSN       SET      2    1355      0.13314       0.0348     0.032882     2.59e-05
MGE_2           SET      3    1125      0.12391     0.029709     0.035871   0.00027694
CGE_1           SET      3    1003      0.12901     0.029309      0.03951   0.00054882
MGE_2           SET      4    1125      0.10956     0.026268      0.03654    0.0013607
CGE_2           SET      4     981     0.096562      0.02171     0.039877    0.0077373
MGE_2           SET      5    1125      0.10078     0.024163     0.037069    0.0032834
LGE_1           SET      5    1050      0.10831     0.025143     0.039529     0.003077
MGE_2           SET      6    1125      0.11224      0.02691     0.036485    0.0010509
LGE_2           SET      6    1020     0.082743     0.018948     0.038808      0.01651
MGE_2           SET      7    1125     0.098965     0.023728     0.037211     0.003918
LGE_4           SET      7     992      0.11092     0.025069     0.040027    0.0027981
MGE_2           SET      8    1125      0.10971     0.026305     0.036659    0.0013856
MGE_3           SET      8    1018      0.08722     0.019955     0.039425     0.013484
