# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1           SET      1     992      0.08357     0.019092     0.034999    0.0084815
skene_InN       SET      1    1324     0.093626     0.024468      0.03077     0.001174
CGE_1           SET      2     992     0.082076     0.018751     0.034975    0.0094754
skene_MSN       SET      2    1354      0.13852     0.036576     0.030786   3.4292e-06
CGE_1           SET      3     992     0.054294     0.012404     0.037063      0.07148
CGE_2           SET      3     973      0.10738     0.024309     0.037909    0.0023122
CGE_1           SET      4     992     0.087879     0.020077     0.034949    0.0059645
LGE_1           SET      4    1042      0.12593     0.029442     0.035533   0.00019759
CGE_1           SET      5     992      0.08296     0.018953      0.03503    0.0089419
LGE_2           SET      5    1012     0.097227     0.022422     0.036284    0.0036886
CGE_1           SET      6     992     0.082577     0.018865     0.035044    0.0092327
LGE_4           SET      6     984     0.096327     0.021923     0.036661     0.004304
CGE_1           SET      7     992     0.084712     0.019353     0.034943    0.0076746
MGE_2           SET      7    1121      0.18198     0.044028     0.035389   1.3721e-07
CGE_1           SET      8     992      0.07315     0.016712     0.035563     0.019857
MGE_3           SET      8    1014     0.088598     0.020451     0.036157    0.0071403
