# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3           SET      1    1017     0.091477     0.020992     0.037686    0.0076107
skene_InN       SET      1    1328      0.10851     0.028196     0.033218   0.00054548
MGE_3           SET      2    1017     0.099002     0.022719     0.037311    0.0039877
skene_MSN       SET      2    1355      0.15545      0.04077     0.032067   6.3102e-07
MGE_3           SET      3    1017     0.091451     0.020986     0.037892    0.0079074
CGE_1           SET      3    1000       0.1005      0.02288     0.037328    0.0035527
MGE_3           SET      4    1017     0.087135     0.019996     0.039115     0.012958
CGE_2           SET      4     980      0.07407     0.016704     0.038517     0.027247
MGE_3           SET      5    1017     0.087026     0.019971     0.037528     0.010205
LGE_1           SET      5    1048      0.18484     0.043019     0.037315    3.685e-07
MGE_3           SET      6    1017     0.093707     0.021504     0.037501     0.006236
LGE_2           SET      6    1017      0.14405     0.033056     0.038068   7.7488e-05
MGE_3           SET      7    1017     0.087424     0.020062     0.037686     0.010183
LGE_4           SET      7     990      0.15078     0.034165     0.038148   3.8853e-05
MGE_3           SET      8    1017     0.075143     0.017244     0.038058     0.024177
MGE_2           SET      8    1124      0.16322     0.039254     0.036636   4.2216e-06
