# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3           SET      1    1018      0.11333     0.025985     0.039853    0.0022331
skene_InN       SET      1    1329      0.13794     0.035809     0.034718    3.566e-05
MGE_3           SET      2    1018      0.12057     0.027646      0.03956    0.0011544
skene_MSN       SET      2    1355      0.20529     0.053772     0.034121    9.131e-10
MGE_3           SET      3    1018      0.11338     0.025997     0.040127    0.0023628
CGE_1           SET      3    1002      0.11548     0.026281     0.039354    0.0016735
MGE_3           SET      4    1018     0.090055     0.020648      0.04165     0.015311
CGE_2           SET      4     980      0.13737     0.030937      0.04146   0.00046224
MGE_3           SET      5    1018       0.1082     0.024809     0.039911    0.0033579
LGE_1           SET      5    1049      0.17683      0.04112     0.038863   2.7043e-06
MGE_3           SET      6    1018      0.11643     0.026695     0.039784    0.0017171
LGE_2           SET      6    1019      0.14797     0.033943     0.038876   7.0858e-05
MGE_3           SET      7    1018      0.11235     0.025759     0.040006    0.0024942
LGE_4           SET      7     991      0.13678     0.030967     0.039653   0.00028172
MGE_3           SET      8    1018       0.1038     0.023801     0.040429    0.0051255
MGE_2           SET      8    1125      0.13292      0.03194     0.037906   0.00022757
