# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_4 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_4           SET      1     991      0.14296     0.032366     0.039262   0.00013622
skene_InN       SET      1    1329      0.14205     0.036876     0.034508   1.9358e-05
LGE_4           SET      2     991      0.12524     0.028356     0.039467   0.00075483
skene_MSN       SET      2    1355      0.19718     0.051647     0.034344   4.7964e-09
LGE_4           SET      3     991      0.14663     0.033196     0.039245   9.3766e-05
CGE_1           SET      3    1002      0.12627     0.028736     0.038831   0.00057499
LGE_4           SET      4     991      0.13157     0.029787     0.039651   0.00045418
CGE_2           SET      4     980      0.14524     0.032709     0.039821   0.00013304
LGE_4           SET      5     991      0.10447     0.023652     0.041095    0.0055134
LGE_1           SET      5    1049      0.16048     0.037318     0.040373   3.5368e-05
LGE_4           SET      6     991      0.10898     0.024673     0.042054    0.0047836
LGE_2           SET      6    1019      0.12177     0.027932      0.04146    0.0016602
LGE_4           SET      7     991      0.11998     0.027164     0.040557    0.0015486
MGE_2           SET      7    1125      0.12399     0.029792     0.038365   0.00061651
LGE_4           SET      8     991      0.13678     0.030967     0.039653   0.00028172
MGE_3           SET      8    1018      0.11235     0.025759     0.040006    0.0024942
