# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_0 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_0           SET      1    1422      0.15865     0.042486     0.033292   9.5204e-07
skene_InN       SET      1    1329      0.14321     0.037179     0.034453   1.6237e-05
LGE_0           SET      2    1422      0.15743      0.04216      0.03326   1.1155e-06
skene_MSN       SET      2    1355      0.20499     0.053694     0.034078   9.2013e-10
LGE_0           SET      3    1422      0.11994     0.032119     0.036629   0.00053074
CGE_1           SET      3    1415      0.10632     0.028407     0.036325    0.0017149
LGE_0           SET      4    1422        0.132      0.03535     0.034255    5.846e-05
CGE_2           SET      4    1394      0.13557     0.035977     0.033872   3.1495e-05
LGE_0           SET      5    1422      0.14441     0.038674     0.033562   8.4864e-06
LGE_2           SET      5    1417      0.15133     0.040461     0.033602   3.3668e-06
LGE_0           SET      6    1422       0.1562     0.041829      0.03332   1.3936e-06
LGE_4           SET      6    1426      0.14117     0.037854     0.033129   1.0235e-05
LGE_0           SET      7    1422       0.1614     0.043222      0.03326   6.1586e-07
MGE_2           SET      7    1399      0.16198     0.043054     0.033537   6.9041e-07
LGE_0           SET      8    1422       0.1376      0.03685     0.033888   2.4613e-05
MGE_3           SET      8    1397       0.1454     0.038623     0.034751   1.4407e-05
