# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3           SET      1    1018      0.10125     0.023165     0.038981    0.0047021
skene_InN       SET      1    1331     0.065367     0.016945     0.035074     0.031197
MGE_3           SET      2    1018      0.10091     0.023088     0.038645    0.0045169
skene_MSN       SET      2    1355      0.13798     0.036064     0.032783   1.2945e-05
MGE_3           SET      3    1018     0.090167     0.020629     0.039308     0.010909
CGE_1           SET      3    1003      0.11425     0.025956     0.040258    0.0022753
MGE_3           SET      4    1018     0.080874     0.018503     0.041035     0.024383
CGE_2           SET      4     981     0.091422     0.020554      0.04164     0.014074
MGE_3           SET      5    1018     0.095177     0.021775     0.038917    0.0072376
LGE_1           SET      5    1050        0.123     0.028554     0.038588   0.00071935
MGE_3           SET      6    1018     0.099787      0.02283     0.038896    0.0051582
LGE_2           SET      6    1020     0.092062     0.021082      0.03847    0.0083624
MGE_3           SET      7    1018     0.092142     0.021081      0.03905    0.0091565
LGE_4           SET      7     992      0.12496     0.028243     0.039058   0.00069059
MGE_3           SET      8    1018      0.08722     0.019955     0.039425     0.013484
MGE_2           SET      8    1125      0.10971     0.026305     0.036659    0.0013856
