# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_4 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_4           SET      1     992      0.13245     0.029936     0.038748   0.00031633
skene_InN       SET      1    1331     0.067425     0.017479     0.034857     0.026551
LGE_4           SET      2     992      0.11757     0.026572     0.038963    0.0012776
skene_MSN       SET      2    1355      0.12938     0.033818     0.033045   4.5429e-05
LGE_4           SET      3     992       0.1329     0.030037     0.038629   0.00029168
CGE_1           SET      3    1003      0.12482     0.028359     0.039555   0.00080285
LGE_4           SET      4     992      0.12474     0.028194     0.039001   0.00069287
CGE_2           SET      4     981      0.10086     0.022677     0.039569    0.0054075
LGE_4           SET      5     992      0.10791     0.024389      0.04046    0.0038312
LGE_1           SET      5    1050      0.10324     0.023965      0.04011    0.0050358
LGE_4           SET      6     992      0.11531     0.026063     0.042308    0.0032146
LGE_2           SET      6    1020     0.057773      0.01323     0.041836     0.083667
LGE_4           SET      7     992      0.11092     0.025069     0.040027    0.0027981
MGE_2           SET      7    1125     0.098965     0.023728     0.037211     0.003918
LGE_4           SET      8     992      0.12496     0.028243     0.039058   0.00069059
MGE_3           SET      8    1018     0.092142     0.021081      0.03905    0.0091565
