# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = skene_MSN (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
skene_MSN       SET      1    1354      0.13542     0.035758     0.030834   5.6494e-06
skene_InN       SET      1    1324     0.087698     0.022919     0.030796    0.0022045
skene_MSN       SET      2    1354      0.13852     0.036576     0.030786   3.4292e-06
CGE_1           SET      2     992     0.082076     0.018751     0.034975    0.0094754
skene_MSN       SET      3    1354      0.13657     0.036062     0.030791   4.6221e-06
CGE_2           SET      3     973      0.11766     0.026636     0.035778   0.00050469
skene_MSN       SET      4    1354      0.13192     0.034833     0.030914   9.9457e-06
LGE_1           SET      4    1042      0.11126     0.026014     0.035706   0.00091792
skene_MSN       SET      5    1354      0.13554     0.035789     0.030858   5.6383e-06
LGE_2           SET      5    1012     0.089887     0.020729      0.03631    0.0066567
skene_MSN       SET      6    1354      0.13274     0.035049     0.031025   9.4649e-06
LGE_4           SET      6     984     0.081783     0.018613     0.036872     0.013284
skene_MSN       SET      7    1354       0.1289     0.034037     0.030854    1.479e-05
MGE_2           SET      7    1121      0.17129     0.041441     0.035499   7.0599e-07
skene_MSN       SET      8    1354      0.13743     0.036288     0.030798   4.0794e-06
MGE_3           SET      8    1014     0.093768     0.021644     0.035572    0.0041979
