# TOTAL_GENES = 17957
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_2 (set)
VARIABLE       TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_2           SET      1     973       0.1143     0.025876     0.035983   0.00074671
skene_InN       SET      1    1324     0.086208      0.02253     0.030929    0.0026604
CGE_2           SET      2     973      0.11766     0.026636     0.035778   0.00050469
skene_MSN       SET      2    1354      0.13657     0.036062     0.030791   4.6221e-06
CGE_2           SET      3     973      0.10738     0.024309     0.037909    0.0023122
CGE_1           SET      3     992     0.054294     0.012404     0.037063      0.07148
CGE_2           SET      4     973      0.11428     0.025871     0.035919   0.00073364
LGE_1           SET      4    1042      0.11559     0.027025     0.035704   0.00060411
CGE_2           SET      5     973      0.11457     0.025936     0.036051   0.00074324
LGE_2           SET      5    1012     0.087869     0.020264     0.036508    0.0080515
CGE_2           SET      6     973      0.11372     0.025744     0.036126   0.00082427
LGE_4           SET      6     984     0.085718     0.019509      0.03695      0.01018
CGE_2           SET      7     973     0.096887     0.021934     0.036262    0.0037753
MGE_2           SET      7    1121      0.16773     0.040581     0.035906   1.5067e-06
CGE_2           SET      8     973      0.10434     0.023621     0.037482    0.0026904
MGE_3           SET      8    1014     0.071134      0.01642     0.037257     0.028121
