# TOTAL_GENES = 18287
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     954       0.1223     0.027196     0.039193   0.00090482
CGE_1               SET     949      0.16575     0.036767     0.038967   1.0583e-05
CGE_2               SET     950      0.12891      0.02861     0.040261   0.00068383
CGE_3               SET     962     0.075847     0.016933     0.039549     0.027578
LGE_0               SET     941      0.13028     0.028784     0.040428   0.00063641
LGE_1               SET     974      0.20233     0.045434     0.040334   2.6652e-07
LGE_2               SET     970       0.1782     0.039938      0.03976   3.7305e-06
LGE_3               SET    1015      0.12019      0.02752     0.038709   0.00095314
LGE_4               SET     958      0.18483     0.041182     0.040762   2.9128e-06
LGE_5               SET     991      0.11572     0.026199     0.039723    0.0017915
LGE_6               SET     958      0.14103     0.031424      0.03983   0.00020003
LGE_7               SET     712     0.023049    0.0044587     0.044567      0.30252
MGE_0               SET     916      0.12769     0.027854     0.041016    0.0009273
MGE_1               SET     915     0.097866     0.021337     0.040472    0.0078076
MGE_2               SET    1022      0.19415     0.044598     0.038981   3.2064e-07
MGE_3               SET     945      0.17158     0.037985      0.04017   9.7754e-06
MGE_4               SET     921      0.13033     0.028504     0.040347   0.00061964
MGE_5               SET    1001      0.14124     0.032129     0.038905   0.00014197
Other               SET    1121    -0.035047   -0.0084074     0.035772      0.83638
Progenitor_0        SET    1063     0.014885     0.003483     0.038046      0.34781
Progenitor_1        SET    1096    -0.044617    -0.010591     0.036567      0.88878
Progenitor_10       SET    1098     0.019115    0.0045413     0.037285      0.30409
Progenitor_2        SET    1127     0.010069    0.0024214     0.036554      0.39149
Progenitor_3        SET    1174    -0.039949   -0.0097921     0.036273      0.86462
Progenitor_4        SET    1027    -0.018632   -0.0042898     0.037493      0.69038
Progenitor_5        SET    1081    -0.013923   -0.0032837     0.037408      0.64513
Progenitor_6        SET    1047     0.016938    0.0039352     0.037352      0.32511
Progenitor_7        SET    1113     0.002241   0.00053578      0.03655      0.47556
Progenitor_8        SET    1110    -0.062816       -0.015     0.036617      0.95686
Progenitor_9        SET    1080      0.01721    0.0040572     0.037274      0.32214
