# TOTAL_GENES = 18199
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1041      0.15547     0.036106     0.059184     0.004314
CGE_1               SET     998       0.1416     0.032238     0.060742     0.009882
CGE_2               SET     976     -0.10484    -0.023619     0.062958      0.95205
CGE_3               SET    1009      0.12664     0.028981     0.062612     0.021569
LGE_0               SET    1013     0.086829     0.019908     0.061228     0.078091
LGE_1               SET    1044     0.039792    0.0092536     0.059726      0.25263
LGE_2               SET    1016     0.021866    0.0050203     0.060423      0.35872
LGE_3               SET    1088    -0.013911   -0.0032982     0.058547       0.5939
LGE_4               SET     989     0.025058    0.0056807     0.060664      0.33978
LGE_5               SET     997    -0.051636     -0.01175     0.060734      0.80238
LGE_6               SET     950     0.087495     0.019462     0.064334     0.086925
LGE_7               SET     662     0.018457    0.0034557     0.076476      0.40465
MGE_0               SET    1048     0.070226      0.01636     0.060355      0.12231
MGE_1               SET    1024     0.097668     0.022507     0.060189     0.052343
MGE_2               SET    1123     -0.16084    -0.038702      0.05749      0.99742
MGE_3               SET    1015    -0.010992   -0.0025226     0.060728      0.57182
MGE_4               SET     962     0.025701    0.0057509     0.063631      0.34314
MGE_5               SET     994     0.047383     0.010767     0.060346      0.21618
Other               SET    1304    0.0051576    0.0013302      0.05319      0.46138
Progenitor_0        SET    1175     0.087312     0.021458     0.058352     0.067304
Progenitor_1        SET    1168     0.095316      0.02336     0.057377     0.048349
Progenitor_10       SET    1079    -0.041226   -0.0097365       0.0585       0.7595
Progenitor_2        SET    1252     0.080685     0.020422     0.056646     0.077184
Progenitor_3        SET    1257     0.029479    0.0074754     0.055597      0.29798
Progenitor_4        SET    1052     0.037257    0.0086952     0.060521      0.26908
Progenitor_5        SET    1116     0.066547     0.015966     0.061541      0.13979
Progenitor_6        SET    1071     -0.07221    -0.016995     0.059188      0.88876
Progenitor_7        SET    1170  -0.00095849  -0.00023509      0.05665      0.50675
Progenitor_8        SET    1182      0.03785    0.0093279     0.056591      0.25181
Progenitor_9        SET    1061     0.043386     0.010166     0.060562      0.23688
