# TOTAL_GENES = 16829
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     910    -0.040044   -0.0090568     0.059582      0.74923
CGE_1               SET     900    -0.013591   -0.0030578      0.05912      0.59091
CGE_2               SET     900    0.0015813   0.00035578     0.060998      0.48966
CGE_3               SET     917      0.10644      0.02416     0.058383     0.034156
LGE_0               SET     884    -0.053362    -0.011905      0.06087      0.80965
LGE_1               SET     926    -0.048471    -0.011053     0.061235      0.78568
LGE_2               SET     933    -0.077676    -0.017776     0.060013      0.90221
LGE_3               SET     969     -0.07958    -0.018538     0.059184      0.91062
LGE_4               SET     910     0.005658    0.0012797     0.061931       0.4636
LGE_5               SET     957     -0.10544    -0.024419     0.060868      0.95838
LGE_6               SET     912     0.066869     0.015139     0.059811      0.13179
LGE_7               SET     670     -0.11895    -0.023258     0.069161      0.95727
MGE_0               SET     875     0.021295     0.004728     0.059963      0.36124
MGE_1               SET     867      0.16777     0.037086     0.060806    0.0029022
MGE_2               SET     979      -0.2242     -0.05248     0.060201       0.9999
MGE_3               SET     905    -0.022074   -0.0049795     0.060504      0.64238
MGE_4               SET     866      0.18352     0.040548     0.060009    0.0011149
MGE_5               SET     955     0.017479     0.004044      0.05977      0.38498
Other               SET    1066     0.092108     0.022436     0.055015     0.047053
Progenitor_0        SET    1010      0.15474     0.036754     0.054862    0.0024003
Progenitor_1        SET    1049     0.087708     0.021205     0.054901      0.05508
Progenitor_10       SET    1065    -0.029416   -0.0071621     0.057184      0.69651
Progenitor_2        SET    1081      0.14007     0.034342     0.053168    0.0042177
Progenitor_3        SET    1113      0.14631     0.036362     0.054225    0.0034896
Progenitor_4        SET     973       0.1079     0.025184     0.056255      0.02756
Progenitor_5        SET    1019      0.15624     0.037266      0.05481    0.0021847
Progenitor_6        SET    1000     0.047594     0.011252     0.058129      0.20647
Progenitor_7        SET    1075    -0.029148   -0.0071278     0.056773      0.69616
Progenitor_8        SET    1051     0.020801    0.0050335      0.05673      0.35694
Progenitor_9        SET    1021      0.21336     0.050934     0.054728    4.861e-05
