# TOTAL_GENES = 18236
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1043     0.074657     0.017337     0.035459     0.017635
CGE_1               SET    1000      0.11686     0.026606     0.036713    0.0007299
CGE_2               SET     980      0.10013     0.022581     0.036702    0.0031865
CGE_3               SET    1010     0.083435     0.019085     0.037174      0.01241
LGE_0               SET    1013      0.12215      0.02798     0.036318   0.00038584
LGE_1               SET    1048      0.19552     0.045507     0.037034   6.5668e-08
LGE_2               SET    1017      0.15496      0.03556     0.037824   2.1046e-05
LGE_3               SET    1087     0.086097     0.020385     0.036124    0.0085831
LGE_4               SET     990      0.16418     0.037203     0.037714   6.7464e-06
LGE_5               SET     999     0.092999     0.021163     0.037078    0.0060731
LGE_6               SET     949       0.1386     0.030784      0.03842   0.00015514
LGE_7               SET     661   -0.0050465  -0.00094324     0.043642      0.54603
MGE_0               SET    1050      0.14752     0.034364      0.03654   2.7189e-05
MGE_1               SET    1025     0.083457     0.019223      0.03645     0.011027
MGE_2               SET    1124      0.17808     0.042829     0.035857   3.4479e-07
MGE_3               SET    1017      0.10998     0.025239      0.03727     0.001586
MGE_4               SET     962      0.12567     0.028093     0.037698   0.00042966
MGE_5               SET     995      0.10536     0.023931     0.037093    0.0022549
Other               SET    1307    -0.098518    -0.025413     0.032254      0.99887
Progenitor_0        SET    1177     0.017328    0.0042579     0.033811      0.30415
Progenitor_1        SET    1171     -0.01989   -0.0048759     0.033764       0.7221
Progenitor_10       SET    1082     -0.04805    -0.011352     0.036384      0.90668
Progenitor_2        SET    1255     0.009327    0.0023612     0.032715      0.38779
Progenitor_3        SET    1261    -0.036033    -0.009142     0.032811      0.86393
Progenitor_4        SET    1055    -0.033807    -0.007893      0.03537      0.83041
Progenitor_5        SET    1120   -0.0018395  -0.00044165     0.034659      0.52116
Progenitor_6        SET    1073    -0.047566    -0.011194      0.03518      0.91182
Progenitor_7        SET    1172    -0.038676   -0.0094849     0.033471      0.87605
Progenitor_8        SET    1184     -0.10206    -0.025148     0.033453      0.99886
Progenitor_9        SET    1069    -0.031039   -0.0072916      0.03485      0.81343
