# TOTAL_GENES = 17971
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1033      0.14266     0.033206     0.057904    0.0068822
CGE_1               SET     986      0.13273     0.030226     0.058677     0.011855
CGE_2               SET     967     -0.14218    -0.032081     0.059472      0.99158
CGE_3               SET     999      0.12442     0.028509     0.059946     0.018978
LGE_0               SET    1000     0.071663     0.016428     0.060398      0.11772
LGE_1               SET    1042    -0.055812    -0.013044     0.058288      0.83084
LGE_2               SET    1012   -0.0087343   -0.0020135      0.05962      0.55823
LGE_3               SET    1078    -0.086969    -0.020652     0.058061      0.93291
LGE_4               SET     981     0.012632    0.0028698     0.059237      0.41557
LGE_5               SET     991     -0.06825    -0.015579     0.059518      0.87424
LGE_6               SET     943     0.069743     0.015552     0.061524      0.12849
LGE_7               SET     656     0.025595    0.0048002     0.072207       0.3615
MGE_0               SET    1040      0.14983     0.034987      0.05837    0.0051347
MGE_1               SET    1017      0.11007     0.025433     0.059092     0.031268
MGE_2               SET    1115     -0.21785    -0.052555     0.056967      0.99993
MGE_3               SET    1008     0.010628    0.0024456     0.059705      0.42936
MGE_4               SET     950      0.15664     0.035052     0.061095    0.0051799
MGE_5               SET     988    -0.051453    -0.011728     0.058075      0.81218
Other               SET    1296     0.034299    0.0088728     0.052165      0.25543
Progenitor_0        SET    1168     0.089412     0.022042     0.055478      0.05353
Progenitor_1        SET    1164      0.13321     0.032786       0.0539    0.0067366
Progenitor_10       SET    1075     0.041116     0.009751     0.056348       0.2328
Progenitor_2        SET    1244     0.069755     0.017707      0.05314     0.094658
Progenitor_3        SET    1248      0.11022     0.028019     0.053306     0.019345
Progenitor_4        SET    1047      0.15254     0.035732     0.058387    0.0044981
Progenitor_5        SET    1105     0.070536     0.016945     0.057903      0.11159
Progenitor_6        SET    1066     0.057437     0.013568     0.057732       0.1599
Progenitor_7        SET    1165     0.072642     0.017886     0.054377     0.090801
Progenitor_8        SET    1175      0.15731     0.038889     0.054647    0.0019999
Progenitor_9        SET    1053     0.020884    0.0049051     0.058343      0.36019
