# TOTAL_GENES = 18372
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1047     0.046586       0.0108     0.039015      0.11625
CGE_1               SET    1003      0.13193     0.029973     0.039522   0.00042327
CGE_2               SET     981      0.11934     0.026832     0.039162    0.0011571
CGE_3               SET    1011     0.076577     0.017463     0.039271     0.025604
LGE_0               SET    1017     0.048276      0.01104     0.039486      0.11075
LGE_1               SET    1050      0.13544     0.031441     0.038261   0.00020098
LGE_2               SET    1020      0.10451     0.023932     0.038173    0.0030989
LGE_3               SET    1089     0.077012     0.018186     0.037495     0.020003
LGE_4               SET     992      0.13926     0.031475     0.038593   0.00015478
LGE_5               SET     999     0.079436     0.018013     0.037905     0.018068
LGE_6               SET     952     0.080538     0.017853     0.040622     0.023718
LGE_7               SET     663     0.037188     0.006936     0.047817      0.21838
MGE_0               SET    1054      0.11704     0.027219     0.038029    0.0010457
MGE_1               SET    1029     0.039855    0.0091644      0.03849      0.15024
MGE_2               SET    1125      0.12642      0.03031     0.035879   0.00021396
MGE_3               SET    1018      0.11152     0.025515     0.038594    0.0019323
MGE_4               SET     968     0.071734     0.016027     0.040975     0.040015
MGE_5               SET     997     0.073145     0.016571     0.038686     0.029342
Other               SET    1310     -0.04207    -0.010826     0.035635       0.8811
Progenitor_0        SET    1179   -0.0054967   -0.0013471     0.036342      0.56011
Progenitor_1        SET    1172    -0.028036   -0.0068517     0.036055      0.78159
Progenitor_10       SET    1082    -0.057843    -0.013618     0.037597      0.93802
Progenitor_2        SET    1257    -0.034518   -0.0087148     0.035719      0.83306
Progenitor_3        SET    1261    -0.054278    -0.013724     0.035164      0.93864
Progenitor_4        SET    1055    -0.023427   -0.0054504     0.038002       0.7312
Progenitor_5        SET    1121    -0.025726   -0.0061579     0.037562      0.75329
Progenitor_6        SET    1074    -0.024821   -0.0058234     0.037162       0.7479
Progenitor_7        SET    1173     -0.05576    -0.013633     0.035384      0.94245
Progenitor_8        SET    1185    -0.056472    -0.013872     0.035257      0.94538
Progenitor_9        SET    1070    -0.016696   -0.0039104     0.038857      0.66629
