# TOTAL_GENES = 17971
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     944     0.026587    0.0059315     0.060911      0.33124
CGE_1               SET     936      0.10863     0.024138     0.059637     0.034275
CGE_2               SET     936     0.015023    0.0033382     0.060496      0.40194
CGE_3               SET     956      0.13859     0.031104     0.060722     0.011242
LGE_0               SET     929     0.041265    0.0091367     0.062253      0.25372
LGE_1               SET     969     -0.05869    -0.013256     0.060484      0.83405
LGE_2               SET     963     -0.02794   -0.0062921     0.059525      0.68059
LGE_3               SET    1007    -0.040285   -0.0092653      0.05967       0.7502
LGE_4               SET     950     0.054714     0.012243     0.061482      0.18676
LGE_5               SET     984    -0.010019   -0.0022794      0.05949      0.56687
LGE_6               SET     955    0.0087773    0.0019689     0.061266      0.44304
LGE_7               SET     709     0.035066    0.0068264     0.069933      0.30804
MGE_0               SET     907      0.12153     0.026606     0.062578     0.026073
MGE_1               SET     910     0.089869     0.019705     0.061887     0.073242
MGE_2               SET    1017       -0.233    -0.053837     0.059496      0.99995
MGE_3               SET     935   0.00017865   3.9677e-05      0.06187      0.49885
MGE_4               SET     915      0.15781     0.034691     0.061899    0.0054007
MGE_5               SET     994    -0.046062     -0.01053      0.05894      0.78274
Other               SET    1113     0.045103     0.010872     0.055347      0.20757
Progenitor_0        SET    1053      0.10264     0.024108     0.058453     0.039555
Progenitor_1        SET    1089         0.14     0.033403     0.056383    0.0065215
Progenitor_10       SET    1092     0.081006     0.019353        0.056     0.074026
Progenitor_2        SET    1118     0.099838     0.024115     0.056298     0.038095
Progenitor_3        SET    1161      0.15613     0.038383     0.055851    0.0025945
Progenitor_4        SET    1021      0.11157     0.025828     0.058966     0.029247
Progenitor_5        SET    1068     0.080705     0.019081     0.058278     0.083066
Progenitor_6        SET    1041      0.11255     0.026293     0.058607     0.027415
Progenitor_7        SET    1106     0.091391     0.021964      0.05624     0.052091
Progenitor_8        SET    1099     0.067884     0.016266     0.056668      0.11548
Progenitor_9        SET    1064     0.051847     0.012237     0.058637       0.1883
