# TOTAL_GENES = 18365
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1041     0.081084      0.01875     0.039307     0.019577
CGE_1               SET    1011      0.12172     0.027763     0.039129   0.00093549
CGE_2               SET     986      0.12446     0.028054     0.038854   0.00068164
CGE_3               SET    1008     0.089157     0.020307     0.038597     0.010455
Early_InN_0         SET     933     0.036683    0.0080555     0.040603      0.18316
Early_InN_1         SET     953     0.019726    0.0043755     0.040077       0.3113
Early_InN_2         SET    1056     -0.01588    -0.003697     0.037867      0.66253
Early_InN_3         SET     967    0.0092569    0.0020675     0.040234      0.40902
Early_InN_4         SET     914    -0.038148   -0.0082961     0.042091      0.81761
Early_InN_5         SET     803     0.068185     0.013943     0.044069     0.060919
LGE_0               SET    1030     0.062309     0.014337     0.039045      0.05528
LGE_1               SET    1044      0.14991     0.034713     0.037871   3.7971e-05
LGE_2               SET    1027     0.098938     0.022734     0.037656    0.0043078
LGE_3               SET    1088     0.085301     0.020138     0.037482     0.011441
LGE_4               SET     993      0.13354     0.030201       0.0383   0.00024564
LGE_5               SET    1005        0.093     0.021153     0.037193     0.006209
LGE_6               SET     965     0.071081      0.01586     0.039784     0.037009
LGE_7               SET     665     0.049477    0.0092432     0.047455      0.14858
MGE_0               SET    1055      0.12418     0.028896     0.038692   0.00066719
MGE_1               SET    1031     0.081364      0.01873     0.038361     0.016973
MGE_2               SET    1131       0.1506     0.036204      0.03592   1.3902e-05
MGE_3               SET    1015      0.14156     0.032348     0.038506   0.00011891
MGE_4               SET     973      0.11295       0.0253     0.040087    0.0024244
MGE_5               SET    1003     0.088028     0.020003      0.03892     0.011866
Microglia           SET    1223    -0.067677    -0.016874      0.03653      0.96802
Progenitor_0        SET    1183    0.0050568    0.0012414     0.035973       0.4441
Progenitor_1        SET    1142    -0.064441    -0.015562     0.036458      0.96142
Progenitor_10       SET    1074    -0.053079    -0.012455     0.037725      0.92027
Progenitor_2        SET    1252    -0.031913   -0.0080436     0.035762      0.81389
Progenitor_3        SET    1252     -0.03271   -0.0082445     0.034723       0.8269
Progenitor_4        SET    1037    -0.027875   -0.0064342     0.038294      0.76666
Progenitor_5        SET    1111     -0.03136   -0.0074765     0.037855      0.79627
Progenitor_6        SET    1062    -0.023371   -0.0054554     0.037747      0.73208
Progenitor_7        SET    1157    -0.042386    -0.010299     0.035765        0.882
Progenitor_8        SET    1180    -0.019024   -0.0046648      0.03504       0.7064
Progenitor_9        SET    1063    -0.023916    -0.005585     0.038698      0.73171
