# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1040      0.17043     0.039479      0.03763    2.986e-06
CGE_1               SET    1010      0.16475     0.037641     0.038461   9.2624e-06
CGE_2               SET     985        0.169     0.038159      0.03934   8.7575e-06
CGE_3               SET    1007      0.13276      0.03029     0.038763   0.00030833
Early_InN_0         SET     932      0.11477     0.025246     0.039224    0.0017196
Early_InN_1         SET     951     0.073072     0.016228     0.039517     0.032229
Early_InN_2         SET    1056      0.02736    0.0063833     0.036846      0.22889
Early_InN_3         SET     963      0.02189    0.0048901     0.039179      0.28819
Early_InN_4         SET     912    -0.022981   -0.0050036     0.039895       0.7177
Early_InN_5         SET     800      0.11911     0.024367     0.043631    0.0031705
LGE_0               SET    1027       0.1432     0.032975     0.038846    0.0001142
LGE_1               SET    1043      0.20341     0.047183     0.038872   8.4661e-08
LGE_2               SET    1027       0.1402     0.032284     0.038573   0.00013972
LGE_3               SET    1086       0.1202     0.028415     0.038094   0.00080299
LGE_4               SET     992      0.14337      0.03248     0.038943    0.0001164
LGE_5               SET    1005     0.093719     0.021363     0.039414    0.0087154
LGE_6               SET     963      0.17584     0.039282     0.039125   3.5184e-06
LGE_7               SET     664    0.0014873   0.00027827     0.046233      0.48717
MGE_0               SET    1052      0.16015     0.037298     0.038514    1.613e-05
MGE_1               SET    1028      0.11033     0.025418     0.038128    0.0019069
MGE_2               SET    1131      0.16432     0.039589     0.036978    4.453e-06
MGE_3               SET    1015      0.15492     0.035478     0.039285   4.0343e-05
MGE_4               SET     969        0.157     0.035176     0.040474   5.2684e-05
MGE_5               SET    1001      0.12601     0.028669     0.038645    0.0005569
Microglia           SET    1222     -0.13383    -0.033427     0.035755      0.99991
Progenitor_0        SET    1181     0.048473     0.011917     0.035958     0.088828
Progenitor_1        SET    1141    -0.022099   -0.0053463     0.036219      0.72912
Progenitor_10       SET    1074    0.0087479    0.0020572     0.037893      0.40871
Progenitor_2        SET    1250    0.0087353    0.0022048     0.034656       0.4005
Progenitor_3        SET    1251    -0.060615    -0.015305     0.035201      0.95745
Progenitor_4        SET    1037    -0.035616    -0.008239     0.037472      0.82906
Progenitor_5        SET    1110     -0.01394   -0.0033293     0.037444      0.64516
Progenitor_6        SET    1061    -0.034112   -0.0079763     0.037445      0.81884
Progenitor_7        SET    1156     -0.01677   -0.0040818     0.035909      0.67975
Progenitor_8        SET    1180    -0.088257    -0.021688     0.036206       0.9926
Progenitor_9        SET    1062    -0.005931   -0.0013875     0.037505      0.56283
