# TOTAL_GENES = 17968
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1028     0.094839     0.022027     0.058284     0.051862
CGE_1               SET     994     0.087895     0.020094      0.05876     0.067359
CGE_2               SET     973     -0.12305     -0.02785     0.059806      0.98017
CGE_3               SET     996      0.12723     0.029114     0.060449     0.017667
Early_InN_0         SET     924     0.091954      0.02031     0.061091     0.066148
Early_InN_1         SET     944     0.076365     0.017038     0.061109      0.10572
Early_InN_2         SET    1046     0.053079     0.012429     0.056449      0.17354
Early_InN_3         SET     952      0.10305     0.023084     0.059606     0.041926
Early_InN_4         SET     905      0.13651     0.029855     0.062159     0.014051
Early_InN_5         SET     789     0.090632     0.018571     0.065804     0.084221
LGE_0               SET    1013     0.062535     0.014424      0.05967      0.14733
LGE_1               SET    1034    -0.048644    -0.011329     0.058832      0.79583
LGE_2               SET    1019    -0.052103    -0.012051     0.059244      0.81042
LGE_3               SET    1078     -0.10319    -0.024505     0.058011      0.96235
LGE_4               SET     984     0.049771     0.011324     0.059326      0.20076
LGE_5               SET     997    -0.073413    -0.016807     0.059224      0.89243
LGE_6               SET     956      0.05762     0.012933     0.060515      0.17052
LGE_7               SET     658     0.027563    0.0051773     0.072161      0.35125
MGE_0               SET    1040     0.089415     0.020881       0.0591     0.065157
MGE_1               SET    1017      0.15387     0.035556     0.059172     0.004662
MGE_2               SET    1121     -0.21338     -0.05161     0.056969      0.99991
MGE_3               SET    1004     0.040675    0.0093427      0.05969       0.2478
MGE_4               SET     958      0.14154     0.031799     0.061043     0.010216
MGE_5               SET     995    -0.031748   -0.0072615     0.058664      0.70581
Microglia           SET    1210     -0.01623   -0.0040676     0.054779      0.61649
Progenitor_0        SET    1170      0.12543     0.030948     0.055897     0.012427
Progenitor_1        SET    1135      0.11207     0.027263     0.054294     0.019513
Progenitor_10       SET    1067     0.056193     0.013281     0.056637      0.16057
Progenitor_2        SET    1238     0.080397     0.020364     0.053112      0.06506
Progenitor_3        SET    1238      0.12134     0.030734     0.054237     0.012646
Progenitor_4        SET    1028      0.13614     0.031619     0.059602     0.011189
Progenitor_5        SET    1096     0.066968     0.016028     0.058436      0.12591
Progenitor_6        SET    1055     0.059612     0.014015     0.058164      0.15272
Progenitor_7        SET    1149     0.069351     0.016968     0.055484      0.10567
Progenitor_8        SET    1169      0.10874      0.02682     0.054888     0.023795
Progenitor_9        SET    1047     0.019837    0.0046471     0.058942      0.36823
