# TOTAL_GENES = 18196
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     931      0.13511      0.02977     0.063161     0.016224
CGE_1               SET     934     0.088239     0.019472     0.064026     0.084088
CGE_2               SET     946     0.026685    0.0059243     0.062715      0.33524
CGE_3               SET     911      0.15485     0.033771     0.063938    0.0077287
Early_InN_0         SET     923     0.073003      0.01602       0.0642      0.12776
Early_InN_1         SET     967     0.095344     0.021388     0.062337     0.063085
Early_InN_2         SET    1058     0.028677    0.0067112     0.061328      0.32004
Early_InN_3         SET    1023     0.079767     0.018375     0.061574     0.097592
Early_InN_4         SET     999     0.031066    0.0070767     0.063891      0.31341
Early_InN_5         SET     913     0.046871     0.010232     0.065594      0.23745
LGE_0               SET     933     0.051703     0.011404     0.063535       0.2079
LGE_1               SET     955     0.031593    0.0070455     0.062529       0.3067
LGE_2               SET     957    -0.023213   -0.0051819     0.061347      0.64743
LGE_3               SET    1018     -0.01284   -0.0029509     0.060324      0.58427
LGE_4               SET     974     0.051345     0.011557     0.062154      0.20438
LGE_5               SET     968     0.017068    0.0038307     0.061892      0.39136
LGE_6               SET     949     0.063843     0.014195     0.063869      0.15876
LGE_7               SET     715     0.087385     0.016979     0.074424      0.12018
MGE_0               SET     900     0.012589    0.0027298     0.065973      0.42433
MGE_1               SET     894     0.073013     0.015782     0.064343      0.12825
MGE_2               SET    1020     -0.11969    -0.027532     0.059505      0.97784
MGE_3               SET     915    0.0083244    0.0018192     0.065573      0.44949
MGE_4               SET     896     0.029855      0.00646     0.063374      0.31879
MGE_5               SET     963     0.076398     0.017105     0.063421      0.11419
Microglia           SET    1170    -0.010087   -0.0024742     0.055586        0.572
Progenitor_0        SET    1073     0.038836    0.0091486     0.060683       0.2611
Progenitor_1        SET    1073      0.13695     0.032262     0.060575     0.011894
Progenitor_10       SET    1091     -0.04992    -0.011852     0.058458      0.80342
Progenitor_2        SET    1114      0.11834      0.02837     0.059705     0.023751
Progenitor_3        SET    1145     0.026244    0.0063729     0.058646      0.32727
Progenitor_4        SET    1014     0.026183    0.0060063     0.062715      0.33816
Progenitor_5        SET    1057      0.07538     0.017633     0.062402      0.11354
Progenitor_6        SET    1027     0.061134     0.014108     0.060493      0.15611
Progenitor_7        SET    1106    -0.030845     -0.00737     0.057622      0.70377
Progenitor_8        SET    1111    0.0079939    0.0019141     0.058916      0.44604
Progenitor_9        SET    1071     0.066128     0.015564     0.059846       0.1346
