# TOTAL_GENES = 17950
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET    1029     0.085493     0.019875     0.033773    0.0056849
CGE_1               SET    1001     0.093878     0.021543     0.034574    0.0033146
CGE_2               SET     980      0.12197     0.027712     0.035431   0.00028882
CGE_3               SET     999     0.032069    0.0073522     0.033949      0.17243
Early_InN_0         SET     926      0.10683     0.023631     0.035778    0.0014157
Early_InN_1         SET     945     0.051799     0.011568     0.035011     0.069513
Early_InN_2         SET    1050    0.0055035    0.0012916      0.03239      0.43254
Early_InN_3         SET     952     -0.01172   -0.0026265     0.034001      0.63483
Early_InN_4         SET     907   -0.0065621   -0.0014374     0.035109      0.57413
Early_InN_5         SET     791     0.085992      0.01765       0.0381     0.012009
LGE_0               SET    1015      0.10205     0.023572     0.034413    0.0015128
LGE_1               SET    1037      0.13605     0.031743     0.035768   7.1533e-05
LGE_2               SET    1020     0.091945     0.021286     0.035797    0.0051117
LGE_3               SET    1079     0.063009     0.014977     0.034432      0.03364
LGE_4               SET     986     0.077593      0.01768     0.036341     0.016381
LGE_5               SET     998     0.051067     0.011702      0.03618     0.079062
LGE_6               SET     955      0.12317     0.027646     0.035685   0.00027919
LGE_7               SET     660    -0.019501     -0.00367      0.04115      0.68221
MGE_0               SET    1044     0.083216     0.019477     0.034197    0.0074835
MGE_1               SET    1017      0.12394     0.028653     0.033765   0.00012139
MGE_2               SET    1128      0.20264     0.049177     0.035414   5.3568e-09
MGE_3               SET    1012     0.090119     0.020787     0.035701    0.0058014
MGE_4               SET     956      0.12565     0.028215     0.035401   0.00019367
MGE_5               SET    1000     0.092955     0.021321      0.03537    0.0042971
Microglia           SET    1215     -0.18051    -0.045347     0.032506            1
Progenitor_0        SET    1162   -0.0099776   -0.0024551     0.031424      0.62457
Progenitor_1        SET    1135    -0.029042   -0.0070683     0.032417      0.81483
Progenitor_10       SET    1070    -0.048018    -0.011369     0.034748      0.91649
Progenitor_2        SET    1231    -0.024764   -0.0062588     0.029814      0.79689
Progenitor_3        SET    1231    -0.068962     -0.01743     0.031081      0.98674
Progenitor_4        SET    1029    -0.042775   -0.0099439     0.033342      0.90023
Progenitor_5        SET    1090    -0.029244   -0.0069843     0.032783      0.81381
Progenitor_6        SET    1057    -0.037833   -0.0089065     0.034553      0.86322
Progenitor_7        SET    1153    -0.033839   -0.0082966     0.034019      0.84005
Progenitor_8        SET    1173     -0.08227    -0.020333     0.033566      0.99287
Progenitor_9        SET    1053    -0.076306    -0.017932     0.032684      0.99021
