# TOTAL_GENES = 18365
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
CGE_0               SET     935      0.13914     0.030587     0.040927   0.00033846
CGE_1               SET     936     0.087131     0.019163      0.04065      0.01605
CGE_2               SET     952       0.1042     0.023101     0.038679    0.0035372
CGE_3               SET     912     0.067647     0.014696       0.0412      0.05032
Early_InN_0         SET     926     0.081491     0.017832     0.040929     0.023253
Early_InN_1         SET     971     0.021632     0.004841     0.039008       0.2896
Early_InN_2         SET    1058    -0.041785   -0.0097363     0.037805      0.86547
Early_InN_3         SET    1024    0.0057921    0.0013291      0.03974      0.44206
Early_InN_4         SET    1001    -0.040898   -0.0092846     0.040051      0.84639
Early_InN_5         SET     916      0.06172     0.013436      0.04082     0.065283
LGE_0               SET     936     0.099858     0.021962     0.040534    0.0068861
LGE_1               SET     959      0.13993     0.031131     0.039554   0.00020269
LGE_2               SET     958      0.11352     0.025242      0.03883     0.001735
LGE_3               SET    1019      0.10116     0.023158      0.03815    0.0040118
LGE_4               SET     977      0.19511     0.043789      0.03853   2.0913e-07
LGE_5               SET     970     0.088466     0.019788     0.038517     0.010825
LGE_6               SET     953      0.05327     0.011816     0.039456     0.088506
LGE_7               SET     716      0.03733     0.007226     0.045786      0.20745
MGE_0               SET     906     0.090624     0.019626     0.040951     0.013459
MGE_1               SET     897     0.077796     0.016769     0.040923     0.028661
MGE_2               SET    1022      0.14463     0.033157     0.037538   5.8693e-05
MGE_3               SET     918       0.1312     0.028591     0.039771   0.00048699
MGE_4               SET     899      0.11938      0.02576     0.041283    0.0019191
MGE_5               SET     968      0.10664     0.023829     0.038947    0.0030954
Microglia           SET    1174    -0.070368    -0.017214      0.03701      0.97135
Progenitor_0        SET    1076    -0.005487   -0.0012887     0.037557      0.55808
Progenitor_1        SET    1076    -0.052384    -0.012303     0.038366      0.91392
Progenitor_10       SET    1095    -0.058054    -0.013747     0.037456       0.9394
Progenitor_2        SET    1119    -0.018449   -0.0044133     0.037671      0.68784
Progenitor_3        SET    1150    -0.044619     -0.01081      0.03613      0.89156
Progenitor_4        SET    1018   -0.0026253  -0.00060074      0.03884      0.52694
Progenitor_5        SET    1060    -0.022201   -0.0051776     0.037874      0.72111
Progenitor_6        SET    1029    -0.015127    -0.003479     0.037833      0.65536
Progenitor_7        SET    1111    -0.067218    -0.016025     0.036195      0.96834
Progenitor_8        SET    1114    -0.017579   -0.0041963     0.036105      0.68683
Progenitor_9        SET    1078     0.016427    0.0038615     0.037916      0.33242
