# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_1 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_1              SET      1    1043      0.19224     0.044592     0.038949   4.0377e-07
skene_InN          SET      1    1329      0.13951     0.036223     0.034453   2.5836e-05
LGE_1              SET      2    1043       0.1779     0.041266     0.039093   2.6937e-06
skene_MSN          SET      2    1356      0.19314     0.050617     0.034229   8.5314e-09
LGE_1              SET      3    1043      0.19741      0.04579     0.039218   2.4364e-07
bryois_GABA1       SET      3    1314      0.03983     0.010288     0.034523      0.12432
LGE_1              SET      4    1043      0.18101     0.041987     0.039309   2.0815e-06
bryois_GABA2       SET      4    1304      0.13312     0.034263     0.035409   8.5504e-05
LGE_1              SET      5    1043      0.19895     0.046149     0.038865   1.5554e-07
CGE_1              SET      5    1010       0.1593     0.036396     0.038442   1.7175e-05
LGE_1              SET      6    1043      0.18276     0.042394     0.039285   1.6564e-06
CGE_2              SET      6     985      0.14175     0.032007     0.039745   0.00018147
LGE_1              SET      7    1043      0.17575     0.040766     0.041274   1.0376e-05
LGE_2              SET      7    1027     0.081556     0.018781     0.040936      0.02318
LGE_1              SET      8    1043      0.17468     0.040517      0.04151   1.2959e-05
LGE_4              SET      8     992     0.081965     0.018569     0.041566     0.024319
LGE_1              SET      9    1043      0.16491     0.038253     0.041039   2.9447e-05
MGE_2              SET      9    1131      0.11392     0.027445     0.039029      0.00176
LGE_1              SET     10    1043      0.18168     0.042141     0.039508   2.1463e-06
MGE_3              SET     10    1015      0.12185     0.027904     0.039911    0.0011349
