# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_2 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_2              SET      1    1131      0.14792     0.035639     0.037193   3.5039e-05
skene_InN          SET      1    1329      0.13613     0.035348     0.034595   4.1771e-05
MGE_2              SET      2    1131      0.14804     0.035666     0.037038    3.225e-05
skene_MSN          SET      2    1356      0.20099     0.052673       0.0341    1.927e-09
MGE_2              SET      3    1131      0.15709     0.037848     0.037657   1.5203e-05
bryois_GABA1       SET      3    1314       0.0354    0.0091437     0.034856      0.15492
MGE_2              SET      4    1131      0.13707     0.033025     0.037683   0.00013809
bryois_GABA2       SET      4    1304      0.13255     0.034117     0.035693   0.00010252
MGE_2              SET      5    1131      0.16048     0.038663     0.036968   7.1437e-06
CGE_1              SET      5    1010      0.16059     0.036691     0.038449   1.4881e-05
MGE_2              SET      6    1131      0.13638     0.032857     0.037857   0.00015815
CGE_2              SET      6     985      0.13767     0.031086     0.040273   0.00031577
MGE_2              SET      7    1131      0.11392     0.027445     0.039029      0.00176
LGE_1              SET      7    1043      0.16491     0.038253     0.041039   2.9447e-05
MGE_2              SET      8    1131      0.14208     0.034231     0.037844   8.7231e-05
LGE_2              SET      8    1027      0.10853     0.024991     0.039467    0.0029855
MGE_2              SET      9    1131      0.13528     0.032592     0.038846   0.00024921
LGE_4              SET      9     992     0.099657     0.022577     0.040902    0.0074211
MGE_2              SET     10    1131      0.13834     0.033329     0.037959   0.00013451
MGE_3              SET     10    1015      0.12155     0.027837     0.040322    0.0012891
