# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_GABA1 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_GABA1       SET      1    1314     0.028531    0.0073695     0.035246      0.20913
skene_InN          SET      1    1329      0.14471     0.037574     0.035417   2.2079e-05
bryois_GABA1       SET      2    1314     0.053768     0.013888     0.034236     0.058156
skene_MSN          SET      2    1356      0.20883     0.054729     0.034053   4.4378e-10
bryois_GABA1       SET      3    1314     0.010713    0.0027672      0.03649      0.38454
bryois_GABA2       SET      3    1304      0.15403     0.039646      0.03734   1.8631e-05
bryois_GABA1       SET      4    1314     0.054506     0.014079     0.034286     0.055956
CGE_1              SET      4    1010      0.16117     0.036824     0.038525   1.4438e-05
bryois_GABA1       SET      5    1314      0.04426     0.011432      0.03453     0.099969
CGE_2              SET      5     985      0.16229     0.036644     0.039685   2.1741e-05
bryois_GABA1       SET      6    1314      0.03983     0.010288     0.034523      0.12432
LGE_1              SET      6    1043      0.19741      0.04579     0.039218   2.4364e-07
bryois_GABA1       SET      7    1314     0.048462     0.012518      0.03449     0.080008
LGE_2              SET      7    1027      0.13355     0.030755      0.03886   0.00029519
bryois_GABA1       SET      8    1314      0.04438     0.011463     0.034655      0.10017
LGE_4              SET      8     992      0.13553     0.030704     0.039421   0.00029389
bryois_GABA1       SET      9    1314       0.0354    0.0091437     0.034856      0.15492
MGE_2              SET      9    1131      0.15709     0.037848     0.037657   1.5203e-05
bryois_GABA1       SET     10    1314     0.039878       0.0103       0.0348      0.12593
MGE_3              SET     10    1015      0.14668     0.033592     0.039937   0.00012034
