# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_2 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_2              SET      1    1027      0.13251     0.030515     0.038593   0.00029867
skene_InN          SET      1    1329        0.146      0.03791      0.03442   1.1157e-05
LGE_2              SET      2    1027      0.12204     0.028104     0.038648   0.00079654
skene_MSN          SET      2    1356      0.20263     0.053104     0.034119   1.4671e-09
LGE_2              SET      3    1027      0.13355     0.030755      0.03886   0.00029519
bryois_GABA1       SET      3    1314     0.048462     0.012518      0.03449     0.080008
LGE_2              SET      4    1027       0.1207     0.027794     0.038845   0.00094642
bryois_GABA2       SET      4    1304      0.14439     0.037163      0.03528   2.1451e-05
LGE_2              SET      5    1027       0.1266     0.029153     0.038704   0.00053716
CGE_1              SET      5    1010       0.1536     0.035094     0.038599   3.4715e-05
LGE_2              SET      6    1027      0.11638     0.026799     0.039073    0.0014511
CGE_2              SET      6     985      0.14973     0.033809     0.039857    8.639e-05
LGE_2              SET      7    1027     0.081556     0.018781     0.040936      0.02318
LGE_1              SET      7    1043      0.17575     0.040766     0.041274   1.0376e-05
LGE_2              SET      8    1027      0.10051     0.023146     0.041762    0.0080528
LGE_4              SET      8     992      0.10444      0.02366     0.042163    0.0066313
LGE_2              SET      9    1027      0.10853     0.024991     0.039467    0.0029855
MGE_2              SET      9    1131      0.14208     0.034231     0.037844   8.7231e-05
LGE_2              SET     10    1027      0.11821     0.027221     0.039101    0.0012527
MGE_3              SET     10    1015      0.13494     0.030903     0.039826   0.00035267
