# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = CGE_1 (set)
VARIABLE          TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
CGE_1              SET      1    1010       0.1543     0.035255     0.038523   3.1098e-05
skene_InN          SET      1    1329       0.1425     0.037002     0.034451   1.7734e-05
CGE_1              SET      2    1010      0.15092     0.034482     0.038485   4.4188e-05
skene_MSN          SET      2    1356      0.20311     0.053228     0.034068   1.2766e-09
CGE_1              SET      3    1010      0.16117     0.036824     0.038525   1.4438e-05
bryois_GABA1       SET      3    1314     0.054506     0.014079     0.034286     0.055956
CGE_1              SET      4    1010      0.14778     0.033764     0.038666   6.6499e-05
bryois_GABA2       SET      4    1304      0.14332     0.036889     0.035213   2.3627e-05
CGE_1              SET      5    1010      0.12098     0.027642     0.041206    0.0016649
CGE_2              SET      5     985      0.12451     0.028114     0.042147    0.0015701
CGE_1              SET      6    1010       0.1593     0.036396     0.038442   1.7175e-05
LGE_1              SET      6    1043      0.19895     0.046149     0.038865   1.5554e-07
CGE_1              SET      7    1010       0.1536     0.035094     0.038599   3.4715e-05
LGE_2              SET      7    1027       0.1266     0.029153     0.038704   0.00053716
CGE_1              SET      8    1010      0.15574     0.035582     0.038539   2.6742e-05
LGE_4              SET      8     992      0.13252     0.030022     0.039015   0.00034215
CGE_1              SET      9    1010      0.16059     0.036691     0.038449   1.4881e-05
MGE_2              SET      9    1131      0.16048     0.038663     0.036968   7.1437e-06
CGE_1              SET     10    1010      0.14012     0.032013     0.039234   0.00017818
MGE_3              SET     10    1015      0.12645     0.028959      0.04007   0.00080194
