# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = LGE_1 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
LGE_1                  SET      1    1043      0.16502     0.038277     0.039343   1.3764e-05
fetal_FC_ExN_2         SET      1    1181      0.22455     0.055201     0.037234   8.3686e-10
LGE_1                  SET      2    1043      0.18176     0.042161     0.039191   1.7751e-06
fetal_FC_ExN_3         SET      2    1069      0.16375     0.038424     0.039016   1.3607e-05
LGE_1                  SET      3    1043      0.17726     0.041117     0.039537   3.7011e-06
fetal_FC_ExN_4         SET      3    1157      0.13329     0.032456     0.037239   0.00017279
LGE_1                  SET      4    1043      0.20014     0.046424      0.03886   1.3178e-07
fetal_GE_InN_2         SET      4    1022      0.15702     0.036075     0.038885   2.7088e-05
LGE_1                  SET      5    1043      0.18932     0.043913     0.039126   6.6034e-07
fetal_Hipp_ExN_3       SET      5    1105      0.11665       0.0278     0.037633   0.00097068
LGE_1                  SET      6    1043      0.19271     0.044701     0.039192   4.4413e-07
fetal_Hipp_ExN_5       SET      6    1005      0.08412     0.019175     0.039593     0.016817
LGE_1                  SET      7    1043      0.19366     0.044921     0.038933   3.3138e-07
mouse_InN              SET      7    1205      0.14082     0.034945     0.035981   4.5648e-05
LGE_1                  SET      8    1043      0.18322     0.042499     0.039081   1.3912e-06
mouse_MSN              SET      8     973      0.18836     0.042284     0.040098   1.3302e-06
LGE_1                  SET      9    1043      0.18298     0.042445     0.038988   1.3559e-06
mouse_CA1              SET      9    1287       0.2029      0.05191     0.034982   3.3795e-09
LGE_1                  SET     10    1043      0.18922     0.043891      0.03895   5.9904e-07
mouse_SS               SET     10    1249      0.17181     0.043349      0.03516   5.1871e-07
LGE_1                  SET     11    1043      0.19057     0.044204     0.039113    5.576e-07
adult_exCA1            SET     11    1334     0.098783     0.025694      0.03403    0.0018521
LGE_1                  SET     12    1043      0.19479     0.045184     0.039063   3.1068e-07
adult_exCA3            SET     12    1339     0.074682     0.019459     0.033835     0.013657
LGE_1                  SET     13    1043      0.19127     0.044366     0.039249   5.5494e-07
adult_exPFC1           SET     13    1348     0.075293     0.019678     0.033897     0.013175
LGE_1                  SET     14    1043      0.18859     0.043744     0.039125   7.2454e-07
adult_exDG             SET     14    1321      0.11367     0.029432     0.034896   0.00056372
LGE_1                  SET     15    1043      0.19719     0.045739     0.039044    2.231e-07
adult_exPFC2           SET     15    1352     0.057036     0.014927     0.033751     0.045532
LGE_1                  SET     16    1043      0.19741      0.04579     0.039218   2.4364e-07
adult_GABA1            SET     16    1314      0.03983     0.010288     0.034523      0.12432
LGE_1                  SET     17    1043      0.18101     0.041987     0.039309   2.0815e-06
adult_GABA2            SET     17    1304      0.13312     0.034263     0.035409   8.5504e-05
LGE_1                  SET     18    1043      0.19895     0.046149     0.038865   1.5554e-07
CGE_1                  SET     18    1010       0.1593     0.036396     0.038442   1.7175e-05
LGE_1                  SET     19    1043      0.18276     0.042394     0.039285   1.6564e-06
CGE_2                  SET     19     985      0.14175     0.032007     0.039745   0.00018147
LGE_1                  SET     20    1043      0.17575     0.040766     0.041274   1.0376e-05
LGE_2                  SET     20    1027     0.081556     0.018781     0.040936      0.02318
LGE_1                  SET     21    1043      0.17468     0.040517      0.04151   1.2959e-05
LGE_4                  SET     21     992     0.081965     0.018569     0.041566     0.024319
LGE_1                  SET     22    1043      0.16491     0.038253     0.041039   2.9447e-05
MGE_2                  SET     22    1131      0.11392     0.027445     0.039029      0.00176
LGE_1                  SET     23    1043      0.18168     0.042141     0.039508   2.1463e-06
MGE_3                  SET     23    1015      0.12185     0.027904     0.039911    0.0011349
