# TOTAL_GENES = 18280
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = MGE_3 (set)
VARIABLE              TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
MGE_3                  SET      1    1015      0.11688     0.026767       0.0397    0.0016219
fetal_FC_ExN_2         SET      1    1181      0.23307     0.057298     0.037192   1.8966e-10
MGE_3                  SET      2    1015      0.13999     0.032058     0.039396   0.00019082
fetal_FC_ExN_3         SET      2    1069      0.17603     0.041306     0.038824   2.9172e-06
MGE_3                  SET      3    1015      0.13637      0.03123      0.03953   0.00028125
fetal_FC_ExN_4         SET      3    1157      0.14942     0.036384     0.036856   2.5273e-05
MGE_3                  SET      4    1015      0.14314      0.03278     0.039385   0.00013984
fetal_GE_InN_2         SET      4    1022      0.15018     0.034503     0.039012   5.9449e-05
MGE_3                  SET      5    1015      0.14174     0.032461     0.039474   0.00016534
fetal_Hipp_ExN_3       SET      5    1105      0.12418     0.029594     0.037584   0.00047785
MGE_3                  SET      6    1015      0.14378     0.032927     0.039573   0.00014035
fetal_Hipp_ExN_5       SET      6    1005     0.091662     0.020894     0.039573     0.010278
MGE_3                  SET      7    1015      0.13775     0.031546     0.039524   0.00024662
mouse_InN              SET      7    1205      0.13792     0.034225     0.036159   6.8559e-05
MGE_3                  SET      8    1015      0.14246     0.032624     0.039331   0.00014666
mouse_MSN              SET      8     973      0.19987      0.04487     0.039948   2.8507e-07
MGE_3                  SET      9    1015      0.13456     0.030815     0.039389   0.00031844
mouse_CA1              SET      9    1287      0.20731     0.053037     0.034985   1.5907e-09
MGE_3                  SET     10    1015      0.13889     0.031806     0.039386   0.00021142
mouse_SS               SET     10    1249      0.17434     0.043989     0.035194   3.6816e-07
MGE_3                  SET     11    1015      0.14158     0.032423     0.039515   0.00017046
adult_exCA1            SET     11    1334      0.10407      0.02707     0.034033     0.001116
MGE_3                  SET     12    1015      0.14529     0.033274     0.039499   0.00011775
adult_exCA3            SET     12    1339     0.078434     0.020436     0.033867     0.010288
MGE_3                  SET     13    1015      0.14256     0.032646     0.039603    0.0001599
adult_exPFC1           SET     13    1348     0.082722      0.02162     0.033857    0.0072827
MGE_3                  SET     14    1015      0.14216     0.032556      0.03944   0.00015688
adult_exDG             SET     14    1321       0.1216     0.031487     0.034821   0.00024027
MGE_3                  SET     15    1015      0.14907     0.034139     0.039406   7.7797e-05
adult_exPFC2           SET     15    1352     0.062976     0.016482      0.03372     0.030919
MGE_3                  SET     16    1015      0.14668     0.033592     0.039937   0.00012034
adult_GABA1            SET     16    1314     0.039878       0.0103       0.0348      0.12593
MGE_3                  SET     17    1015      0.12856     0.029442     0.039845   0.00062793
adult_GABA2            SET     17    1304      0.13836     0.035611     0.035529   4.9502e-05
MGE_3                  SET     18    1015      0.12645     0.028959      0.04007   0.00080194
CGE_1                  SET     18    1010      0.14012     0.032013     0.039234   0.00017818
MGE_3                  SET     19    1015      0.10892     0.024943     0.041977    0.0047382
CGE_2                  SET     19     985      0.13048     0.029463     0.042039   0.00095688
MGE_3                  SET     20    1015      0.12185     0.027904     0.039911    0.0011349
LGE_1                  SET     20    1043      0.18168     0.042141     0.039508   2.1463e-06
MGE_3                  SET     21    1015      0.13494     0.030903     0.039826   0.00035267
LGE_2                  SET     21    1027      0.11821     0.027221     0.039101    0.0012527
MGE_3                  SET     22    1015      0.13196      0.03022     0.040024   0.00048984
LGE_4                  SET     22     992      0.11817     0.026772     0.039673    0.0014499
MGE_3                  SET     23    1015      0.12155     0.027837     0.040322    0.0012891
MGE_2                  SET     23    1131      0.13834     0.033329     0.037959   0.00013451
